MCStep s           	 Energy_U	Average_Energy_<U>	      Variance	 Order_Parameter	 Acceptance_Ratio	 Temperature
40	   -190.88612	              -190.46658	     6.8761424	    0.95829409	        3.125	         0.1
41	   -190.86103	               -190.4762	     6.7736476	    0.95951614	        9.375	         0.1
41	   -190.79747	              -190.47465	     6.7626343	    0.95810882	        3.125	         0.1
42	   -190.87884	              -190.48427	      6.667495	    0.96146827	         6.25	         0.1
42	    -190.9349	              -190.48561	      6.676097	    0.96146827	            0	         0.1
43	   -190.53255	               -190.4867	     6.5308514	     0.9597561	         6.25	         0.1
43	   -190.17678	              -190.47843	     6.4840556	    0.96022666	        9.375	         0.1
44	   -190.26167	               -190.4735	     6.3115036	    0.95939272	         12.5	         0.1
44	    -190.2453	              -190.47313	      6.309353	    0.95939272	            0	         0.1
45	    -190.2453	              -190.46807	     6.1429018	    0.95939272	            0	         0.1
45	   -190.36775	              -190.47079	     6.1581121	     0.9570017	        9.375	         0.1
46	   -190.54964	               -190.4725	     6.0376084	    0.95767821	         6.25	         0.1
46	   -190.60421	              -190.47369	      6.045182	     0.9579001	        3.125	         0.1
47	   -190.69583	              -190.47841	     5.9487157	     0.9579001	            0	         0.1
47	   -190.70707	              -190.47865	     5.9504004	    0.95726924	        3.125	         0.1
48	   -190.73455	              -190.48398	     5.8624039	    0.95726924	            0	         0.1
48	   -190.73455	              -190.48398	     5.8624039	    0.95726924	            0	         0.1
49	   -190.76878	               -190.4898	      5.782636	    0.95895792	        3.125	         0.1
49	   -190.74791	              -190.48937	     5.7789041	    0.95705867	        3.125	         0.1
50	   -190.36218	              -190.48683	     5.6508356	    0.95795788	         6.25	         0.1
50	   -190.26607	               -190.4849	     5.6396771	    0.95795788	            0	         0.1
51	   -190.26607	              -190.48061	     5.5062953	    0.95795788	            0	         0.1
51	   -190.25197	              -190.48034	     5.5038978	    0.95909903	         6.25	         0.1
52	   -190.58166	              -190.48229	     5.4120214	    0.95899131	        9.375	         0.1
52	   -190.73779	              -190.48529	     5.4306596	    0.95888435	        9.375	         0.1
53	   -190.57669	              -190.48701	     5.3405758	     0.9608357	         6.25	         0.1
53	   -190.52646	              -190.48606	     5.3347662	    0.95930612	        3.125	         0.1
